#indo
*Indo-European
+Proto-Indo- European	*oynos / *sem	*duwō	*treyes	*kwetwores	*penkwe	*sweks	*septṃ	*oktō	*newṇ 	*dekṃ
Burun	akel	areo	adŭk	ngŭn	adōīc	derguk	ngŭntungkel	bīdīa	wŭngakēla	cāī
!Luo	ačiel	ariyo	adek	aŋwɛn	abič	aučiel	abiriyo	aboro	ongačiel	apar
Alur	ácɛ̂l	áryɔ̍	ádêk	áŋwέǹ	ábîc	ábʊ́syὲl	ábɪ́rɔ̍	ábórà	ábʊ́ŋwὲn	ápâr
Lango	àcɛ̂l	àryɔ̂	àdêk	àŋwɛ̂n	àbîc	àbícὲl	àbɪ́ryɔ̀	àbórò	àbóŋwὲn	àpâr
Akoli	acel	aryɔ	adek	aŋwɛn	abic	abicel	abiryo	aboro	abuŋwen	apar
Nuer	kel	reu	dyok	nguan	dhyec	bakel	baro	badak	bangwan	wal
!Dinka	tok	róu	dyak	’nguan	wdyeč	wdetem	wderóu	bêt	wde-nguan	wtyer
Agar	tòk	ròw	diâak					ḅέɛt
Rek	tok	rou	diak	nguan	dhiec	detem	dhorou	bɛt	dhonguan	thiaar
*4Eastern
Bari	gɛlɛŋ	murɛk	musala	iŋwan	mukanat	bukɛr	buryɔ	budök	buŋwan	pwök
Kakwa	gelé	mʊŕέ	musálà	iŋwán	mʊkánàt
Lotuxo	âbotye	ârrexai	xunixoi	aŋwan	miet	ɪllɛ	xattarɪk	xottoxunik	xɔttɔŋwan	’tɔmɔn
Ongamo (Ngasa)	o-boito	o-h'áɽɛ	ok'úni	o-h'óngwan	mí'téti	mí'éti o-b'ô	mí'éti o-h'áɽɛ	mí'éti ok'úni	mí'éti o-h'ongwán	tɔm'ɔn
Maasai	obo	aare	okuni	oonguan	imiet	ɪlɛ	oopishana	isiet	oondo	tɔmɔn
Turkana	a-pey`	nga-arey`	nga-uni`	nga-omwɔn`	nga-kāni	nga-kanɪ̀-ka-pey	nga-kanɪ̀-ka-arey	nga-kanɪ̀-ka-uni	nga-kanɪ̀-ka-omwɔn	nga-tɔ̀mɔn
Teso	adiope	aarei	auni	aoŋom	akany	akany kape	akany kaarei	akany kauni	akany kaoŋom	atomon
Karamojong	epei	ŋiarei	ŋiauni	ŋiomwon	ŋikani	ŋikani kapei	ŋikani kaarei	ŋikani kauni	ŋikani koomwon	ŋitomon
*4Southern
Nandi	akenge	aeŋg	somok	aŋgwan	mut	i•llo	tisap	sisiit	sokol	taman
Kipsikiis	ɒkeeng’ke	aieeng’	somok	ɒng’wɒn	muut	la	tisɒp	sisiit	sakaal	tɒmɒn
Keiyo	ɑḱέ:ŋkɛ	ayé:ŋ	sómók	ɑŋwɑ̂n	mú:t	ɪlɔ	tɪsåp	sisí:t	sáká:l	tɑ́mɑn
Tuken	ɑḱέ:ŋkɛ	áé:ŋ	sómók	ɑ́ŋwɑ́n	mú:t	ɪlɔ́	tɪ́såp	sisí:t	sáká:l	tɑ́mɑn
Markweta	ɑkɛ̂:ŋkɛ	aé:¯	somók	ɑ́ŋwɑ̂n	mû:t	lɔ́	tɪ́sAp	sisí:t	sâkaâ:l	tɑ́mɑn
Sapiny	ɑḱέ:ŋkɛ	ayé:ŋ	sómók	ɑmwɑ́n	mǔ:t			sisí:t
Kony	ɑḱέ:ŋkɛ:	ayé:ŋ	sómók	ɑmwɑ́n	mú:t	lɔ́	tɪ́sAp	sisǐ:t	sákǎ:l	tɑ́mån
Pok	ɑḱέ:ŋkɛ:	ayé:ŋ	somók	ɑŋwɑ́n	mú:t	lɔ́	tɪsåp	sisí:t	saká:n	tɑ́mɑ́n
Ng’oma	ɑḱέ:ŋkɛ:	aé:ŋ	somók	ɑmwɑ́m	mǔ:t	lɔ́	tɪsåp	sisí:t	sakǎ:n	tɑ́mɑn
Terik (Kalenjin)	ɑḱέ:ŋkɛ	aé:ŋ	sómók	ɑŋwɑ́n	mû:t	lɔ	tɪsåp	sisí:t	sakâ:n	tɑmɑ́n
Okiek	ak’ɛ̂·ŋkɛ	ŋ́·éeŋ	s’ómok	áŋw’ân	múut	lɔ́	tísap	isi’et	sokol	t’áman
Pokot	okoŋo	odeny	somok	aŋwan	mut	mut ngo akoŋo	mut ngo adeny	mut ngo somok	mut ngo aŋwan	taman
Omotik	ag’î·tio	a’inia	s’amako	aŋw’ân	mo·t	l’ae		sisit		taman
Datooga	ági	ýê:¯	sámogu	ɑ́ŋwɑ̂n	mo:d	la	ísúbwâ	sís	šágê:š	dámân
*3Kuliak
Ik	kɔna	leɓets	aɗe	ts’agusa	tuda	nda-keɗi-kɔna	nda-keɗi-leɓets	nda-keɗi-aɗe	nda-keɗi-ts’agusa	tomin
So	ɛdɛs	nɛbɛc	iyon	nowa	tud	tud ka ni [1]	tud ka ni [2]	tud ka ni [3]	tud ka ni [4]	tud	en-ek ige
Ngangea (Nyang’i)	nardok	nɛʔɛc	iyʔon	nowʔe	fud	mɔk kan kapei				mɔk tomin
**Central Sudanic
*3West
Kresh (Gbaya)	’bala	rɔmo	tɔtɔ́	sɔsɔ	sála	[5] [1]	[5][2]	[5][3]	[5][4]	kpúu
Aja	kpá	bira	buʈo	ba’adi	niɛr̥r̥u	[5] [1]	[5][2]	[5][3]	[5][4]	kpúú
Baka	kɛri	brùe	ɔta	ɛsɔ	inyi	inyi-da-keri	inyi-do-brue	inyi-dɔ-ta	inyi-d-ɛsɔ	sɔkɔ
Beli	kǒto	yo	muta	hǒ	mui					ki
Bongo	kootu	ngɔri	müta	heu	müi	do-kotu	do-ngɔr	do-müta	do-heu	kii
Morokodo	kolo	rio	ota	suǒ	mui					bute
Vale	kada	dio	muta	so	mi					kutu
Gambai	kárā	jó	mùndá	sɔ́	mí	mìsá	sírí	jī-nài-jó	jī-nài-kárā	dòg
Kaba	li	ǰo	muta	so	mi	nkali	mi di debe	sa lanǰa	dokabo	dogo
Kaba Dunjo	kab	ǰo	muto	so	mi	maka	mi ti ǰo	sa lan ǰo	dakubu	doko
Mbai	kə́rā	jōó	mə̀tá	sɔ́ɔ	mĩ´ĩ	kə́-bòy-dètə́	tènə́-mə́tá	jī-jōó	jī-kə́rā	kə̀lá
Sara	kógəḿ	jōó	mə̀tá	sɔ̀	mí	mḕhḗ	sīrí	sɔ́sɔ́	ndōhó	kùtə̀
Babahi	kodo	ǰo	mota	so	mi	meko	ţsili	nderta	ndoko	sika
Bagirmi	kede	sap	muto	sô	mi	mika	ţsili	marta	dôso	do keme
Gula	kérē	djōó	mùtə́	sɔ́	mĩ́	mùtə́-mùtə́	sə́jə̀mtə́	sɔ́sɔ́	jīnàykérē	dògə́
Kenga	kàláng	dīió	mɔ̀tɔ́	sɔ̄	mī	mὲćέ	cīlí	mārtá	j́έrnáng	sīk
Kuka (Naba)	kílkămā	rĭyō	măta	desō	de muī	de măshā	de sĭlī	de rătā	de rǒfō	de sī
Yulu	kala	jòyo	müüta	uso	múú	mìttì-kal	mìttì-jòyo	mìttì-mota	mìttì-sö	kpúú
Kara	kál	djúú	mokpá	sɔɔ	míí	nangu-sɔ-tùmù-dɔg	nangu-mòkpá-tùmù-dɔg	nangu-djúú-tùmù-dɔg	nangu-kál-tùmù-dɔg	dɔɔgo
*3East
Moru	àlɔ	ärrɪ̀	n' na̍	sú	n' dzwí	n' dzwí drıˈ àlɔ̍	n' dzwí drıˈ ɛrì	n' dzwí drıˈ ana	n' dzwí drıˈ äsu	’bUtɪ̀
Avukaya	àlɔ	ärrɪ̀	n' na̍	sú	nzɪ	nzɪ  káźέ	nzɪ lérì	nzɪ lana	nzɪ läsu	mudrí
Kaliko	àlɔ	írì	ńná	ɪsʊ̀	toú	ázíá	ä´ zír̀	arò	óromì	mudr´
Logo	àlɔ	írì	ná	sú	índžwí	kázíá	dr̀ írì	dr̀ na	dräsu	mudrɪ́
Logbara	àlö	ïrrì	nna	ssu	tääú	azia	áziíïrrì	àarò	òoròmì	möödrí
Madi	àlU	rì	ɪna	isu	tòu	ázíá	túderì	arɔ̀	drítsàlɔ	mudrí
Lendu	atdí	ɔyɔ	ɨ̀bhʉ 	ɨ̀fɔ	imbo	aza	àrʉ̀ bhʉ̀	àrʉ̀ 	àrʉ  gyètdí	ɨdrɛ
Mangbetu	kana	sóórú	sɔ́ta	sɔ́sua	tɔ́zɛrɛna	’t́έngwɛkana	tónóru	’bɔ́gina	’t́έbgelégí	’tέ́έkέ
Mamvu	relí	juè	jenɔ̀	jeţɔ̀	jimbu	elí qɔdὲ [1]	elí qɔdὲ [2]	jeţɔ́jeţɔ́	elí qɔdὲ [4]̀	elí ɓòsí
Lese	eli	ὲgɓɛ	ὲcinà	ὲcitɔ̀	ὲcibù	màyà	ràrɔ̀	ràrɔ̀lú	àbùcwá	àbùcí
**Berta
Berta	mʊʊngk’ú	móolang	múuthe	mənəmu	mə́’kúushú	mak’ɛɛra	thabɔ́ɔlang	thabóore	thabáanámu	mathuuma
Gebeto	mənəmgo	mohale	moɔte	mən’nə́mu	məkɔsɔ	makykyera	makykyera-mənəmk’o	makykyera-mohale	makykyera-mənnəmu	məduma
Sudan	ɗúkóni	hwalangi	zítígíni	shɔ́ɔgɛn	ássín	yáagá	aarum	zuzube	sɔ́kə́nɔ́	yúkúubu
Kunama
Kunama	’éllà	’bárè	sàt’te	sàllè	kùs’sùmè	kon-tal-e	kon-ta-bare	kon-ta-satte	elli-dáùdà	sheba
**Komuz
Gumuz (Bega) Sai	metam	mband	okak	nzac	mɛkus	mɔdya	tsitsibənd	sɛna:ku	yesana:ku	atsɛr
…Sese	metá	mbán	okáng	ənzíc	mək’ús	komtá	kombán	keokáng	kənzíc	ashəra
…Gojjam	metā	mbānd	okāg	anzāca	makus	mac’ek	c’ic’abānd	c’ic’agōkū	koreb	mānc’ēkhā
…Kokit	meta	mba:nda	okaga	nzi:kya	makwo:sa	makye:ra	saba	tamanya	tisa	cika
Anej (Gule)	dědín	děssú	dĭnāmú	dĭkássabit	dŭbŭ´ ĭt	dělódĭn	dilāso	debḗdig	děmadídin	derkābu
Kwama	ʔā'śέn	'síjá	'twāsán	'bē:sín	'khū:mùt	'kōb:ā:sɪ́n	kōbə̄'sìà	kōbə̄'twàsɪn	kō'b:é:sín	'kū:zì
Madin	dedi	suin	dijin	dwangani	busi	kanendidi	kenennisu	kenedish	kenedwoga	koshinkoru
Opo	didi	cuka	tusa	ŋwan	mutakwei	kanedidi	kanicuka	kanitusa	kaniŋwan	mutakweicukein
Komo	ɗɛʔ	sʊʔ	dìšɪ́n	dɔ̀ɣɔ̀n	bʊ̀s’ín	kā:nagīɗ́έ	kā:nā[2]	kā:nādɪš	ká:ndɔ̀gɔ̀n	k’ɔ́šk’ɔ̀lɔ̀
Twampa (Uduk)	ɗeʔ	sùʔ	kwárá	dóŋòn	múudὲd	péɗéʔ				k’ùméd
**Saharan
!Kanuri	tilo	ndi	yakkə	degə	uwu	araskə	tulur	wusku	ləgar	mewu
Kanembu	tulló	yindí	yākú	d’éu	vû¯ 	arakú	túlur	vusukú	lār	m’eũ
Teda	trōn	tšū	ágozō	tozō	fā	disē	turrésiō	osō	isī	mur-dō
Zagawa	lakoi	swé	wé	išté	hūé	dešté	dišté	wotté	distī	timm
Berti	sang	su	soti	sitti	pī	doti	tai-iti	kuze	kedoesi	masang
**Maban
Maba	tὲɛn	mbàar	kòŋàal	ʔàsàal	túùr	sìttàal	ḿέndríi	ʔíyyáa	ʔòddói	ʔɔ̀ttúk
Masalit	tyǒm	mbárá	káaŋ	ás	túr	ítí	màrí	àyá	àd́έi	ùtúk
Aika	kàndá	mbà	kʌ̀sʌ̀ŋgá	attai	túur	isséì	mʌŋdirsi	mbakidi	kadeel	ituk
Runga	kanda	mba	kasanga	atte	tor	isseÿ	mindrisi	bakadi	kader	ituk
Kibet	tuwni	mbaar	kàsáŋgàl	àttál	tuur	ɪssʌl	mɪndɪrsɪk	mbakɪt	kʌdai	ituk
Mimi Gaudefroy	deg	mel	kol	mir	kulsi	tulgu	rom	šio	ri	mik
Mimi Nachtigal	ulun	soen	zalkun	kindoi	raikun	šaara	sarkai	algun	au	saya
**Songhai
!Songhai	fo	hinka	hinja	taaci	gu	iddu	iyye	yaaha	yagga	woy
…Zarma	afo	ihinka	ihinza	itaci	iggu	iddu	iyye	ahaku	iyegga	iwey
…Dendi	fɔ́	híŋkà	hínzà	táátyí	ìggú	ìddú	ìyéé	ìyààkú	ìggá	wéỳ
**Fur
Fur	tɔk	awu	iis	ɔngal	ɔz	ɔzundik	saabi	taman	tise	weyɛ

*Kordofanian
**Kadugli
Miri	ńōŋɔţɔ̄́k	gɛra	kez̯ɔ̄́na	kigisɔ	kiòmmu	[5] [1]	[5] gɛrắ	kandana nagɔ	([8]) kafọ [1]	kelā́na
Kadugli	ŋɔ̂tɔ̀k	ɛ̄́ra	ādā́na’	ì´ fisɔ	udúmmu	ndánanɔ¯´ gɔ	iśā́nta	ate9mì´ isō	udumtíšta	alā́na’
Katcha	ŋgɔtɔ	ɛra	idhɔna	igizo	idhumu	ofunu [1]	ofun(u) [2]	ofun(u) [3]	ofun [4]	adobaga
Krongo	t-yúŋwá	t-yáaryà	t-yóotòonò	t-yóocìisò	àrwátìnìisò	àttì kí-tì nyúŋwá	àttì kí-tì nyáaryà	àttì kí-tì nyóotòonò	àttì kí-tì nyóocìisò	àttì kí-tì nárwátìnìisò
Tumtum	nīŋoŋi	kera	jōdǒna	kigiso	kamini	atěkāden [1]	atěkāden nera	atěkāden [3]	atěkāden ŋisim	āŋoto lo lūli
**Kordofanian proper
*3Katla
Katla	t̯ẹ̀t̯ák	sẹ̀k	hāθd	agắla̯m	jěgwūlẹ́n	djoltẹ́n	djolēk	t̯aŋgẹ̆́l	djalbatẹ́n	rākwĕ́s
Tima	atị̆́n	ẹ̀hẹ̀k	ẹ̀hǒát	ehắla̯m	ẹdù´ lĭn	è. ntăŋgădăkọ̆lŏ́́‘	ẹ̆ntắti̯ŋěl	ẹ̆ntắŋěrĕ́z̯	ẹ̆ntắhědăkŭ́n	hědăkŭ́n
*3Heiban
Ko	t̯ákkan	ácćέrɔ	ád̯á gáágán	t̯ɔ́wáɽŋɔ	t̯ɔ́t̯t̯úí	át̯t̯úi t̯abur láákan	át̯t̯úi t̯abur láácćέrɔ	át̯t̯úi t̯abur láád5á gáágán	át̯t̯úi  t̯aawáɽŋɔ	áɗúí
Warnang	ŋút̯t̯ɔ	ŋírcaccîn
Rere (Koalib)	kwʌ́ttɛ	kúúɽan	t̯ɔ´ɔ́ɽɔl	kɔ́ɽɔ́ŋan	t̯úðɔ́ni	ñ́έrlɛl	ləβɔkúrɛ̂ñ	ləβɔgúppa	kúnat̯urri	rri
Utoro	gwɛɛdɔŋ	gutʌn	t̯5́έɽɛl	kwɔɽɔŋ	t̯ɔ´ɔ́d̯ánɛ	ñírɛl	kwɔɽɔ́ŋ t5ɛɽɛl	d̯úbáŋ	t̯ɔ´ɔ́d̯áńέ gwɔɽɔŋ	dí
Logol	gwát̯t̯ɛ	rááb	t̯ííɽil	kwárŋɔ	túdíní	ñ́έrlil	guɽá t̯ííɽil	dúúfɔŋ	t5anná kwárŋɔ	kəɽɛgát̯t̯ɛ
Ebang (Heiban)	gwɛtipɔ	ram	t̯íril	kɔ́rŋɔ	t̯úd̯ə́na	ñ́έril	kɔ́rat̯íril	d̯úbáŋ	t̯úd̯ə́na kɔrŋɔ	díɛ
Laru	gwɛttɛ	rɔ́m	t̯ɛɽil	kɔɽɔŋɔ	t̯úd̯iní	ñ́έrlɛl	kɔɽát̯ɛɽil	dúúba	t̯úd̯iní kɔɽɔŋ	dí
Shirumba (Shwai)	it̯t̯íβɔ́	ít̯t̯ia	gínńέ	wat̯t̯ɔ	ðinńέ	ñɛrɛɽɛl	wat̯t̯ágínńέ	dúúβá	wat̯t̯áðinńέ	rwíñ
Tiro	kɛnnɛ	kɽ̀can	kɽ̀cin	maaldʊ	ðέέnɛ	lɽ̀cíɽcin	maaldʊ́ kɽ̀cin	ɔ́bbɔ	[5] maaldu	ʊ́rrí
Moro	kʊntʊ	ndíccaan	ndijín	maarldɔ̯áán	ðέέnaŋ	[5] náŋáƚḿέñ́έ gánnaŋ	[5] náŋáƚḿέñ́έ gáɽijan	[5] náŋáƚḿέñ́έ gáɽijín	[5] náŋáƚḿέñ́έ maarldɔ̯an	rɛɛθ
*3Talodi
Lafofa	tleidi	padɛrin	pata:dɪn	ke:ka	liəgum	tledile dile do	bədɛrele dile do	gəldiəgʊmbədarəle dile to	kekaleiti leito	tiəɽum
Tegem	tĺέɛdi	pad̯έέriŋ	padaaiŋ	kɛ̂kká	kilíɛgúm	tĺέɛtí ĺέt̯ílɛt̯	[5][2] ĺέt̯ílɛt̯	[5][3] lít̯ílit	[5][4] lít̯ílit̯	t̯ɛɛrum
Nding	-állâŋ	-έttâ	t̯-at̯t̯ák	-ib̥b̥í̄ik	ciβiñ cállâŋ	[5] ná ŋállâŋ	[5] ná [2]	[5] ná [3][5] ná [4]	¯íβá ¯ʊ̂k
Jomang (Talodi)	y-íllik	y-ílɽák	y-ídá̯k
Tocho	-úlluk	-ɛɛɽak	m-́έt̯t̯ák	m-ɔɽaandɔ	m-ɔkúnjuruk	bat̯t̯áβát5ak	mɛɽɛk mɔɽandɔ mɛt̯t̯ák	mɛɽ bɽandɔ́ bɽandɔ	mɛɽɛk mɔɽandɔ a mɔkunjuruk	át̯t̯u
Ngile	y-ɪɪlɪ	-έέɽa	y-ɪ́t̯t̯äk	yawuɽándɔ́	sú siili	táíyɪɪlɪ	táíyέέɽa	táíyit̯t̯äk	táí[4]́	nɛǵέmbəɽa
Dengebu (Dagik)	-έllu	-έέɽá	y-ɪ́t̯t̯ák	b•ə́ɽándɔ	tswíí tśέllu
*3Rashad
Tegali	ĭndă	ǒrkŏ́́	ndětắ	ā́rĕ́m	ŭ́mma	ńĕ́rẹ̆l	ummarkŏ́́	dubbá	funusā́n	fuŋgn
Tagoi	yẹ̀ndá	yikok	yitắ	yāre̯m	yḗre̯m	ńērẹ̆y	ọ̆m-mărgŏ́́k	tupa	kọmi̯n-  ăħắn	kọ̄́měn

*Khoisan
Hadza	itχ́ ameya	piyepi	sámakapi	bunepi	asupi
Sandawe	ts’exe	kiso-x	somki-x	haka-x	kwaʔana	[5] danda ts’ex	[5]danda [2]	[5] danda [3]	[5] danda [4]	kom
**S. Africa
!Kung (!Xu~)	r|e’e	tsã	n!eni
≠Au.//eî	|ne	tsa	!nanni	||kai
Zhu|’hõasi	n|è’e̍	-tsa̍	n!ànì	tsánkútsán
+Proto-Central-Khoisan	|ui	|am	!noona
Hietso	kwi	|kam-nye	ngonawe
≠’Oxoku	|kui	|kam	!nona
Nama	/úí	/ám	!noná	hàká	kóro	!naní	huu	//xáísá	kxòese	tìsí
Korana (!Ora)	|ui	|am	!nona	haka	kora
Dama	≠kariga ≠ũnib	≠gao mãb	//ẽib !gãb	//naidab	khausa //gorob
Xiri	/úí	/ám	!nòná	hàká	kóro
Hai.n//um	čin #é	či dzá	čin láni		lgau	lgau #eissen
Nharo	/kúí	/kâm	n!óná	hàkà	koro	n!ání	hõ`õ̀	//kaisa	kuesi	disi
G//abake	kwie	/kame	ngonawe	jubesani	e chowe
Xû (Kxoe)	/gú̯iχa	//gam	/nōănā
G//ana	/wi	/ám	ng(!)ona	/aṁ/amchira
G/wi	/wi	/ám	ng!ona	/aṁ/amchira
!Xóõ	≠’ûã	≠nûm	kâ ||âe
//Ng.!’e	||kwe	!ku	!nona
N/nuki	||koe	|?u	!nona
//Xekwi	||ka:	||ku
+/Xam	|koai	!ku:	!nwonna	|ku

#niger
*Niger-Congo
**Mande
*3Bobo-Fing
Sya	tala	pila	saa	nã	ko	ko-nara	ko-pla	koro-saa	koro-nõ	fũ
*3Northern
Soninke	baane	fillo	sikko	naxato	karago	tunmu	nyeru	segu	kabu	tanmu
Bozo	sanna	tenne	sike	natã	kuwõ	tummi	yeni	seki	kapi	temi
Susu	keren	firin· 	sakhan	nani	suli	seni	solofere	solo masakhan	solo manani	fu
Yalunka	keden	firin	saxan	nanin	sulun	woro	woroŋla	sagiŋ	konondo	taŋ
Ligbi	die	fala	segba	nani	soro	mworo	mafala	masegba	manani	tã
Numu (Huela)	díén	fàlà	sègbá	náánè	sóólò	mɔ̀ɔ̀dó	màúlà	máségbá	màdááné	táàn
Kono	njirin· 	fela	sawa	nani	dulu	oro	ofela	sei	kononto	tan
Vai	lɔ̀ndɔ́	fè’á	sàkpá	náánì	sóó’ú	sôŋ lɔ̀ndɔ́ 	sôŋ fè’á	sôŋ sàkpá	sôŋ náánì	tâŋ
Mandinka	kiliŋ	fùla	sàba	naani	luulu	wooro	worowula	sayi	kònonto	taŋ
Xasonke	xelĩ	fila	saba	naani	luuli	wooro	worovila	seegi	xononto	tãn
!Malinke (W Maninkakan)	kíling	fùla	sàba	náani	lúulu	wóoro	woorowula	seyi	kònonto	táng
!Bambara (Bamanankan)	kelen	fila	saba	naani	duuru	wòoro	wolonfla	segi	kònōntò	tan
!Dyula	kélen	flà	sàba	náani	lóoru	wɔ́ɔrɔ	wólonflà	séegi	kɔ̀nɔntɔ	tán
*3Southwestern
Loko	ila	fele	cawa	naai	ndɔu	ngohita	ngɔfɛla	ngɔsaakba	karaabu	kapuu
Loma	gla	felego̱	saago	nane	doluo	doseta	dofera	dosawa	ta’u	pu
Kpelle	taaŋ	felɛ	saba	naaŋ	lɔlu	lɔl maida	lɔl mai felɛ	lɔl mai saba	lɔl mai naaŋ	pu
!Mende	yelá	felé	sawá	náâni	lɔ̂ɔ̂lu	ẃέita	wɔ́fela	wáyâkpa	tálu	puú
Bandi	hita	fele	sawa	nani	do̱lu	wo̱ita	ngo̱fera	ngo̱hakpa	tau	pu
*3Southern-Eastern
Mano	do	pile	yaka	izye	solu	sora-do	sora-pire	sora-aka	sora-izye	bu
Dan	do	plὲ	jáà ga	jîsiʌ	sɔ́ɔ́ɗú	slấdo	slấplὲ	slǽæ̂ ga	séîsiʌ	gɔ́ɔ̂ do
Kweni (Guro)	dʊ	fíé	yaa	zìɛ̃	sɔ́rú	süɛdʊ	sɔrafíé	sɔraa	sɔrazìɛ̃ 	vu
…Beng	do	plaŋ	ŋaŋ	siéŋ	sɔ́ŋ	sɔ́do	sɔ́pla	sɔ́wa	sisi	ebu
…Gbin (Gagu)	do	paa	nga	sye	soo	soru-do	sosowa	kyenze	sisi	bu
Mwa	du	ple	yaka	izye	suo	sura-du	sura-pere	sura-a	sura-izye	fu
Nwa (Wan)	do	pilɔŋ	ã́	siiyá	sɔ̀ɔ̀lú	wã́ã́ŋ́	séa ã́ 	séŋ́ yãŋ́ 	sɔlá siyá	sɔ́ŋ́ yɔlú
Tura	dō	pììlɛ̄	yàkā	yìsɛ̄	sóólú	sáàdō	sáàpììlɛ̄	sáàkā	sɔ́ìsɛ	buu
*3Eastern
Bisa	diin	piiya	kaaku	si	soor	sɔddi	saapra	siinya	neefu	bu
Busa	ḍó	flā	áhɔ̃́ 	síhɔ̃́	sɔ́ɔro	sûḍó	sûfla	sóràhɔ̃́	kéndòkúli	kúli
Samo Toma	go	pa	so	si	soro	sɔrɔ	soba	kibsi	manangoro	fu
…Sembla (Seeku)	sōēn	fí	suὲ	nàa	nō	tsìin	nyēen	kàa	kòomēn	tó
**West Atlantic
*3Bijago
Bijago (Ankaras)	modige	mundsuwe	munyogho	wagene	modewikogho	namudughe	namudsuwe	namuyogho	namu-agan	woruãgo
*3Northern
*4Senegal
!Fulani (Fula, Pulaar)	go’o	ɗiɗ-	tat-	nay-	jow-	joweego’o	joweeɗiɗ-	joweetat-	joweenay-	sappo
…Maasina	go’o	ɗiɗi	tati	nayi	joyi	jeegon	jeɗɗi	jetti	jeenayi	sappo
Serer	lɛng	ɗik	tadik	naxik	betik	betu fo [1]	betu fo [2]	betu fo [3]	betu fo nāik	xarbaxay
!Wolof	benna	ñaar	ñetta	ñenent	juróom	juróom benna	juróom ñaar	juróom ñetta	juróom ñenent	fukka
*4Cangin
Falor (Palor)	yʊ̈nɔ	ana	eyě	enil	ip	poʊ̈nɔ	pana	peyě	paynil	sab. ɔ
Lehar	yin̄ɔ	kanak	kahay	nikis	yɛtus	mɛ̄nɔ	na-kanák	na-kāhay	na-nikis	ɗankia
Ndut	yinə	aṇa	eye	inir	ẹp	pʉnə	pāna	pɛ̄	paylin	saḅɔ
Non	w-ɛnɔ	k-anak	k-ahay	nigis	yədus	nɛ̄-nɔ	nɛ-kanak	nɛ-kahay	nɛ-nigis	ndankɛ
Safan	yinɔr	kanak	kahay	nikis	yátus	yɛs na inɔr	yɛs na kanak	yɛs na kahay	yɛs na nikis	ndankiah
*4Bak
Balant	fɔɔdn	ksebm	khabm	ktahəla	kcef	[5] kə [1]	[5] kə [2]	[5] kə [3]	[5] kə [4]	fcef meen
Ganja	wɔ́dā	seebēe	yaabīi	tahlā	jéef	fáaj	fāaj ngə [1]	-tāntahlā	fáa mɛ̄	jínmīnn
Mankanya	-lolan	-ƚöb	-uadʲenč	-baakr	ka-ñeen	paadʲ	paadʲ na -lolan	bakren	ka-ñeen ka-loŋ	i-ñeen
Manjaku	-lólõ	-tab	-uádjãt	-bákre	-kañã	pádje	pádje na -lõ	kôç	kôç na -lõ	ũtádja
Papel	puloŋ	ngepugus	ngadsint	ngebakr	kinyene	pads	dsand	bakari		disinyane
Bayot	ʔɛndon	ʔiɾigəʔ	ʔifi:giʔ	ʔiβeiʔ	ʔɔɾ̘ɔʔ
Karon	jonol	isɕiɕipəkh	ɕɪhəjil	ɕɪpäkil	ɪɕäkʰ
Kwatay	ʔifɛnɛŋ	kusubäʔ	kihɤiɟiʔ	kibäkir	hutɔk				hutɔknikibäkiɾ
Diola	yəkon	sigaba	sifeegir	sibaakir	futɔk	futɔk di [1]	futɔk di [2]	futɔk di [3]	futɔk di [4]	uñɛn
Gusilay	jänor	suɾubɜʔ	sifɤɟiɾ	sibä:giɾ	futokh				futoknisibági
*4E Senegal-Guinea-Bissau
Badyara (Pajade)	pakã	māe	macao	mane	kobəda	[5] nka [1]	[5]nka [2]	[5]nka [3]	[5]nka [4]	papo
Banyun	nonduk	hanak	halal	harenek	motokila	kilaŋguduk	kilaganak	kilagalal	kilagarenek	halak
Bassari	-mât	-xí	-sàs	-nàx	-ndyɔ̀	-ndʸɔ̀ ng ́έ-mât 	[5] ng [2]	[5] ng [3]	[5] ng [4]	e-pòx
Bedik	-rīyè	-hì	-sás	máhālā	-dyó	mo-dʸó ng-iyè	[5] ng-[2]	[5] ng-[3]	[5] ng-[4]	́έ-pɔ́
Biafada	nnəmma	bihe	bijo	bənihi	gəbəda	mpaaji	[6] ŋga nyi	wose	liberebo	bappo
Kasanga	-ɛɛna		-ar	sanna	iuroog			g/sansanna		ŋaroog
Kobiana	hee		-teeh	sannaŋ	juroog	[5] ŋga [1]	[6] ŋga kunuŋ	[4] ŋga [4]	[9] ŋga kunuŋ
Konyagi (Wamei)	-ryǽw̃ 	-xí	-ræ̀r	-læ̀x	-mbʌ́ɗ	[5] g [1] 	[5] g [2]	[5] g [3]	[5] g [4]	ì-pʌ̀xʷ
*4Mbulungish-Nalu
Mbulungish	kiben	sidi	sitet	sinẽ	siso	sakben	sakdi	saktet	saneŋ	atele
Nalu	-dendeg	-bele	-at	-nam	-tedũ	tedu-te-dendeg	tedu-te-bele	tedu-te-pat	tedu-te-binam	tebele
*3Southern
Limba	funti	tai	tr’atr’at	tanno	taso̱ hi	taso̱hunte	tasontai	tasontr’atr’at	tasontano	ko̱f
Gola	gun	tie	tae	tina	nono	diegun	detie	detae	detina	zia
Baga Binari	pin	pā́ren·	pásās	pā́n·ɛre	tsámat	tsamáterkín	depéran·	desā́s	depā́nɛre	tsɔ̄́ fats
